index,Kolkata Knight Riders,Royal Challengers Bangalore,Delhi Daredevils,Chennai Super Kings,Kings XI Punjab,Rajasthan Royals,Mumbai Indians,Deccan Chargers,Kochi Tuskers Kerala,Pune Warriors,Sunrisers Hyderabad,Rising Pune Supergiants,Gujarat Lions
94,5,2,6,4,7,8,1,3,NA,NA,NA,NA,NA
95,5,1,6,4,7,8,2,3,NA,NA,NA,NA,NA
96,6,1,7,4,8,5,2,3,NA,NA,NA,NA,NA
97,7,2,4,5,8,6,1,3,NA,NA,NA,NA,NA
98,7,2,5,6,8,3,1,4,NA,NA,NA,NA,NA
99,5,2,6,7,8,3,1,4,NA,NA,NA,NA,NA
100,5,2,6,7,8,3,1,4,NA,NA,NA,NA,NA
101,6,2,4,7,8,3,1,5,NA,NA,NA,NA,NA
102,6,2,4,7,8,3,1,5,NA,NA,NA,NA,NA
103,7,3,2,5,8,4,1,6,NA,NA,NA,NA,NA
104,5,3,2,6,8,4,1,7,NA,NA,NA,NA,NA
105,5,2,3,6,8,4,1,7,NA,NA,NA,NA,NA
106,5,2,3,4,8,6,1,7,NA,NA,NA,NA,NA
107,5,3,2,4,8,6,1,7,NA,NA,NA,NA,NA
108,6,3,2,5,8,4,1,7,NA,NA,NA,NA,NA
109,6,3,2,4,8,5,1,7,NA,NA,NA,NA,NA
110,6,4,2,5,8,3,1,7,NA,NA,NA,NA,NA
111,6,4,2,5,8,3,1,7,NA,NA,NA,NA,NA
112,6,4,2,5,8,3,1,7,NA,NA,NA,NA,NA
113,6,2,3,5,8,4,1,7,NA,NA,NA,NA,NA
114,6,2,3,5,8,4,1,7,NA,NA,NA,NA,NA
115,7,2,3,6,8,4,1,5,NA,NA,NA,NA,NA
116,7,3,4,2,8,5,1,6,NA,NA,NA,NA,NA
117,7,2,4,3,8,5,1,6,NA,NA,NA,NA,NA
118,7,2,3,4,8,5,1,6,NA,NA,NA,NA,NA
119,7,2,3,5,8,6,1,4,NA,NA,NA,NA,NA
120,6,2,3,5,8,7,1,4,NA,NA,NA,NA,NA
121,6,4,5,3,8,7,1,2,NA,NA,NA,NA,NA
122,6,4,5,3,8,7,1,2,NA,NA,NA,NA,NA
123,NA,2,NA,1,NA,NA,2,4,NA,NA,NA,NA,NA
124,NA,2,NA,1,NA,NA,2,4,NA,NA,NA,NA,NA
125,NA,2,NA,1,NA,NA,2,4,NA,NA,NA,NA,NA
126,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,4,2,NA,3,NA,1,NA,6,5,NA,NA,NA,NA
130,6,4,9,5,10,3,2,8,7,1,NA,NA,NA
131,5,4,9,6,10,3,2,7,8,1,NA,NA,NA
132,4,6,9,5,10,2,1,7,8,3,NA,NA,NA
133,4,5,10,6,7,3,2,8,9,1,NA,NA,NA
134,5,7,10,6,8,3,2,4,9,1,NA,NA,NA
135,3,8,10,7,9,4,2,5,6,1,NA,NA,NA
136,3,9,10,5,6,4,2,7,8,1,NA,NA,NA
137,1,10,9,4,6,5,3,7,8,2,NA,NA,NA
138,1,10,9,5,7,6,3,8,4,2,NA,NA,NA
139,1,9,10,7,8,2,4,5,6,3,NA,NA,NA
140,1,9,10,7,8,4,2,6,3,5,NA,NA,NA
141,1,9,10,8,3,5,2,7,4,6,NA,NA,NA
142,2,5,10,9,3,6,1,8,4,7,NA,NA,NA
143,2,5,10,9,4,6,1,8,3,7,NA,NA,NA
144,3,6,9,8,4,2,1,10,5,7,NA,NA,NA
145,3,7,9,4,5,2,1,10,6,8,NA,NA,NA
146,4,2,9,5,6,3,1,10,7,8,NA,NA,NA
147,5,3,10,2,7,4,1,6,8,9,NA,NA,NA
148,2,4,10,3,7,5,1,6,8,9,NA,NA,NA
149,4,2,10,5,7,3,1,6,8,9,NA,NA,NA
150,1,3,7,5,8,4,2,6,9,10,NA,NA,NA
151,2,5,7,4,8,1,3,6,9,10,NA,NA,NA
152,3,5,8,4,9,2,1,7,6,10,NA,NA,NA
153,1,5,8,4,9,3,2,7,6,10,NA,NA,NA
154,2,5,8,3,9,4,1,7,6,10,NA,NA,NA
155,2,6,7,3,9,4,1,8,5,10,NA,NA,NA
156,2,4,7,3,9,5,1,8,6,10,NA,NA,NA
157,2,4,7,3,9,5,1,8,6,10,NA,NA,NA
158,2,3,7,4,10,5,1,9,6,8,NA,NA,NA
159,3,4,7,2,10,5,1,9,6,8,NA,NA,NA
160,3,4,8,2,9,5,1,10,6,7,NA,NA,NA
161,4,2,8,3,9,5,1,10,6,7,NA,NA,NA
162,4,3,8,1,9,5,2,10,6,7,NA,NA,NA
163,4,3,9,1,6,5,2,10,7,8,NA,NA,NA
164,4,1,10,2,6,5,3,9,7,8,NA,NA,NA
165,4,1,10,2,5,7,3,9,6,8,NA,NA,NA
166,4,1,10,2,5,7,3,8,6,9,NA,NA,NA
167,4,1,10,2,5,7,3,8,6,9,NA,NA,NA
168,4,2,10,1,5,7,3,8,6,9,NA,NA,NA
169,3,2,10,1,5,7,4,8,6,9,NA,NA,NA
170,3,2,10,1,5,6,4,8,7,9,NA,NA,NA
171,3,2,10,1,5,6,4,7,8,9,NA,NA,NA
172,4,1,10,2,5,6,3,7,8,9,NA,NA,NA
173,4,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
174,4,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
175,NA,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
176,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
179,3,NA,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA
180,5,NA,3,6,7,1,4,NA,NA,2,NA,NA,NA
181,7,4,6,3,8,1,5,9,NA,2,NA,NA,NA
182,7,4,6,3,8,1,5,9,NA,2,NA,NA,NA
183,7,5,6,4,8,1,3,9,NA,2,NA,NA,NA
184,5,7,3,6,8,1,4,9,NA,2,NA,NA,NA
185,5,7,3,6,8,4,1,9,NA,2,NA,NA,NA
186,6,7,2,5,8,4,1,9,NA,3,NA,NA,NA
187,4,7,2,6,8,5,1,9,NA,3,NA,NA,NA
188,4,7,3,6,8,5,2,9,NA,1,NA,NA,NA
189,5,8,4,6,7,1,3,9,NA,2,NA,NA,NA
190,5,8,1,6,7,2,4,9,NA,3,NA,NA,NA
191,5,8,2,6,7,1,4,9,NA,3,NA,NA,NA
192,3,8,2,6,7,1,5,9,NA,4,NA,NA,NA
193,3,8,1,5,7,2,6,9,NA,4,NA,NA,NA
194,3,7,1,5,8,2,6,9,NA,4,NA,NA,NA
195,5,7,1,4,8,2,6,9,NA,3,NA,NA,NA
196,3,8,1,5,7,2,6,9,NA,4,NA,NA,NA
197,2,6,1,5,8,4,7,9,NA,3,NA,NA,NA
198,2,6,1,5,8,3,7,9,NA,4,NA,NA,NA
199,2,4,1,3,8,5,7,9,NA,6,NA,NA,NA
200,2,4,1,3,8,5,7,9,NA,6,NA,NA,NA
201,2,4,1,3,8,5,7,9,NA,6,NA,NA,NA
202,2,4,1,3,8,5,7,9,NA,6,NA,NA,NA
203,2,5,1,4,8,6,3,9,NA,7,NA,NA,NA
204,2,5,1,4,8,6,3,9,NA,7,NA,NA,NA
205,2,5,1,4,8,6,3,9,NA,7,NA,NA,NA
206,2,6,1,5,4,7,3,9,NA,8,NA,NA,NA
207,2,6,1,5,4,7,3,9,NA,8,NA,NA,NA
208,2,6,1,4,5,7,3,9,NA,8,NA,NA,NA
209,2,7,1,4,6,5,3,9,NA,8,NA,NA,NA
210,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
211,1,5,2,4,7,6,3,9,NA,8,NA,NA,NA
212,1,7,2,6,5,4,3,9,NA,8,NA,NA,NA
213,1,4,2,7,6,5,3,9,NA,8,NA,NA,NA
214,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
215,2,3,1,5,7,6,4,9,NA,8,NA,NA,NA
216,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
217,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
218,3,5,1,4,7,6,2,9,NA,8,NA,NA,NA
219,3,5,1,4,7,6,2,9,NA,8,NA,NA,NA
220,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
221,2,5,1,4,6,7,3,9,NA,8,NA,NA,NA
222,2,5,1,4,6,7,3,9,NA,8,NA,NA,NA
223,2,5,1,4,6,7,3,9,NA,8,NA,NA,NA
224,2,5,1,4,6,7,3,8,NA,9,NA,NA,NA
225,1,NA,3,2,NA,NA,4,NA,NA,NA,NA,NA,NA
226,1,NA,3,2,NA,NA,4,NA,NA,NA,NA,NA,NA
227,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,1,2,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
232,2,3,5,NA,NA,NA,4,NA,NA,6,1,NA,NA
233,2,5,6,7,NA,3,4,NA,NA,8,1,NA,NA
234,3,6,7,8,2,4,5,NA,NA,9,1,NA,NA
235,6,5,7,8,3,1,4,NA,NA,9,2,NA,NA
236,6,3,8,7,5,2,1,NA,NA,9,4,NA,NA
237,7,3,8,6,5,2,1,NA,NA,9,4,NA,NA
238,7,1,9,6,5,3,2,NA,NA,8,4,NA,NA
239,7,1,9,6,5,4,3,NA,NA,8,2,NA,NA
240,7,2,9,4,6,5,1,NA,NA,8,3,NA,NA
241,6,2,9,5,7,3,1,NA,NA,8,4,NA,NA
242,5,2,9,6,8,3,1,NA,NA,7,4,NA,NA
243,6,1,9,7,5,3,2,NA,NA,8,4,NA,NA
244,6,2,9,7,5,1,4,NA,NA,8,3,NA,NA
245,7,2,9,4,6,1,5,NA,NA,8,3,NA,NA
246,7,3,9,4,6,2,5,NA,NA,8,1,NA,NA
247,7,1,9,3,6,4,5,NA,NA,8,2,NA,NA
248,7,1,9,3,5,4,6,NA,NA,8,2,NA,NA
249,7,2,9,1,5,4,6,NA,NA,8,3,NA,NA
250,7,1,9,2,5,4,6,NA,NA,8,3,NA,NA
251,7,1,9,2,5,4,6,NA,NA,8,3,NA,NA
252,7,1,9,2,5,4,6,NA,NA,8,3,NA,NA
253,7,1,9,2,5,4,6,NA,NA,8,3,NA,NA
254,7,1,9,2,6,3,4,NA,NA,8,5,NA,NA
255,7,2,8,1,6,3,4,NA,NA,9,5,NA,NA
256,7,2,8,1,6,3,4,NA,NA,9,5,NA,NA
257,7,2,8,1,6,3,4,NA,NA,9,5,NA,NA
258,7,2,8,1,6,3,4,NA,NA,9,5,NA,NA
259,7,2,8,1,6,3,4,NA,NA,9,5,NA,NA
260,7,2,8,1,6,3,4,NA,NA,9,5,NA,NA
261,7,2,8,1,6,4,5,NA,NA,9,3,NA,NA
262,7,2,8,1,6,4,3,NA,NA,9,5,NA,NA
263,7,2,8,1,6,4,3,NA,NA,9,5,NA,NA
264,7,4,8,1,6,3,2,NA,NA,9,5,NA,NA
265,7,4,8,1,6,3,2,NA,NA,9,5,NA,NA
266,7,4,8,1,6,2,3,NA,NA,9,5,NA,NA
267,7,4,8,1,6,2,3,NA,NA,9,5,NA,NA
268,7,4,8,1,6,3,2,NA,NA,9,5,NA,NA
269,6,4,8,1,7,2,3,NA,NA,9,5,NA,NA
270,6,4,8,2,7,3,1,NA,NA,9,5,NA,NA
271,7,4,8,1,6,3,2,NA,NA,9,5,NA,NA
272,7,4,8,2,6,3,1,NA,NA,9,5,NA,NA
273,7,4,8,2,6,3,1,NA,NA,9,5,NA,NA
274,7,5,8,2,6,3,1,NA,NA,9,4,NA,NA
275,7,4,8,1,6,3,2,NA,NA,9,5,NA,NA
276,7,5,9,1,6,3,2,NA,NA,8,4,NA,NA
277,NA,NA,NA,2,NA,3,1,NA,NA,NA,4,NA,NA
278,NA,NA,NA,2,NA,3,1,NA,NA,NA,4,NA,NA
279,NA,NA,NA,2,NA,3,1,NA,NA,NA,NA,NA,NA
280,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
283,1,2,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
284,1,2,7,6,3,4,8,NA,NA,NA,5,NA,NA
285,2,1,5,7,3,4,8,NA,NA,NA,6,NA,NA
286,3,1,5,7,2,4,8,NA,NA,NA,6,NA,NA
287,4,1,6,3,2,5,8,NA,NA,NA,7,NA,NA
288,4,2,6,3,1,5,7,NA,NA,NA,8,NA,NA
289,4,3,6,2,1,5,7,NA,NA,NA,8,NA,NA
290,4,3,6,2,1,5,7,NA,NA,NA,8,NA,NA
291,4,3,7,2,1,5,8,NA,NA,NA,6,NA,NA
292,4,5,7,2,1,3,8,NA,NA,NA,6,NA,NA
293,4,5,6,2,1,3,8,NA,NA,NA,7,NA,NA
294,4,5,6,2,1,3,8,NA,NA,NA,7,NA,NA
295,4,5,6,2,1,3,8,NA,NA,NA,7,NA,NA
296,4,5,7,2,1,3,8,NA,NA,NA,6,NA,NA
297,4,5,7,2,1,3,8,NA,NA,NA,6,NA,NA
298,4,5,7,1,2,3,8,NA,NA,NA,6,NA,NA
299,5,4,7,1,2,3,8,NA,NA,NA,6,NA,NA
300,5,4,7,1,2,3,8,NA,NA,NA,6,NA,NA
301,5,4,8,1,2,3,6,NA,NA,NA,7,NA,NA
302,4,5,8,2,1,3,6,NA,NA,NA,7,NA,NA
303,4,6,8,2,1,3,7,NA,NA,NA,5,NA,NA
304,4,6,8,2,1,3,7,NA,NA,NA,5,NA,NA
305,5,6,8,2,1,3,7,NA,NA,NA,4,NA,NA
306,4,6,8,2,1,3,7,NA,NA,NA,5,NA,NA
307,4,7,8,2,1,3,6,NA,NA,NA,5,NA,NA
308,4,6,8,1,2,3,7,NA,NA,NA,5,NA,NA
309,4,6,8,2,1,3,7,NA,NA,NA,5,NA,NA
310,4,6,8,2,1,3,7,NA,NA,NA,5,NA,NA
311,4,5,8,2,1,3,7,NA,NA,NA,6,NA,NA
312,4,5,8,2,1,3,6,NA,NA,NA,7,NA,NA
313,4,5,8,2,1,3,7,NA,NA,NA,6,NA,NA
314,4,6,8,2,1,3,5,NA,NA,NA,7,NA,NA
315,3,7,8,2,1,4,6,NA,NA,NA,5,NA,NA
316,3,7,8,2,1,4,5,NA,NA,NA,6,NA,NA
317,2,7,8,3,1,4,5,NA,NA,NA,6,NA,NA
318,2,7,8,3,1,5,4,NA,NA,NA,6,NA,NA
319,1,NA,NA,3,2,NA,4,NA,NA,NA,NA,NA,NA
320,1,NA,NA,3,2,NA,4,NA,NA,NA,NA,NA,NA
321,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
322,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
325,1,NA,3,2,NA,NA,4,NA,NA,NA,NA,NA,NA
326,2,NA,4,3,6,1,5,NA,NA,NA,NA,NA,NA
327,4,3,5,1,7,2,6,NA,NA,NA,8,NA,NA
328,4,3,6,1,5,2,7,NA,NA,NA,8,NA,NA
329,3,6,7,1,4,2,8,NA,NA,NA,5,NA,NA
330,3,6,7,2,4,1,8,NA,NA,NA,5,NA,NA
331,3,7,4,2,5,1,8,NA,NA,NA,6,NA,NA
332,3,7,4,2,5,1,8,NA,NA,NA,6,NA,NA
333,3,7,4,2,5,1,8,NA,NA,NA,6,NA,NA
334,3,7,4,2,6,1,8,NA,NA,NA,5,NA,NA
335,3,8,4,2,6,1,7,NA,NA,NA,5,NA,NA
336,3,8,4,2,6,1,7,NA,NA,NA,5,NA,NA
337,3,8,4,2,5,1,7,NA,NA,NA,6,NA,NA
338,3,8,5,2,6,1,7,NA,NA,NA,4,NA,NA
339,3,7,4,2,6,1,8,NA,NA,NA,5,NA,NA
340,3,6,4,2,7,1,8,NA,NA,NA,5,NA,NA
341,3,6,4,1,8,2,7,NA,NA,NA,5,NA,NA
342,3,4,5,2,8,1,7,NA,NA,NA,6,NA,NA
343,3,4,6,2,8,1,7,NA,NA,NA,5,NA,NA
344,3,4,6,1,8,2,7,NA,NA,NA,5,NA,NA
345,4,3,6,1,8,2,7,NA,NA,NA,5,NA,NA
346,3,4,6,1,8,2,7,NA,NA,NA,5,NA,NA
347,3,5,4,1,8,2,7,NA,NA,NA,6,NA,NA
348,4,3,6,1,8,2,7,NA,NA,NA,5,NA,NA
349,4,3,6,2,8,1,7,NA,NA,NA,5,NA,NA
350,3,4,5,1,8,2,7,NA,NA,NA,6,NA,NA
351,3,5,6,1,8,2,4,NA,NA,NA,7,NA,NA
352,4,3,6,1,8,2,5,NA,NA,NA,7,NA,NA
353,3,4,7,1,8,2,6,NA,NA,NA,5,NA,NA
354,3,5,7,1,8,2,4,NA,NA,NA,6,NA,NA
355,1,6,7,2,8,3,5,NA,NA,NA,4,NA,NA
356,2,4,7,1,8,3,6,NA,NA,NA,5,NA,NA
357,2,5,7,1,8,4,6,NA,NA,NA,3,NA,NA
358,2,5,7,1,8,4,6,NA,NA,NA,3,NA,NA
359,2,5,7,1,8,4,6,NA,NA,NA,3,NA,NA
360,2,6,7,1,8,5,4,NA,NA,NA,3,NA,NA
361,3,2,7,1,8,6,5,NA,NA,NA,4,NA,NA
362,4,3,7,1,8,2,6,NA,NA,NA,5,NA,NA
363,5,3,7,1,8,4,2,NA,NA,NA,6,NA,NA
364,NA,3,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA
365,NA,3,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA
366,NA,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
367,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA
370,2,NA,3,NA,NA,NA,4,NA,NA,NA,NA,1,NA
371,2,NA,5,NA,4,NA,6,NA,NA,NA,NA,1,3
372,3,2,6,NA,5,NA,8,NA,NA,NA,7,1,4
373,4,2,7,NA,6,NA,5,NA,NA,NA,8,1,3
374,3,2,7,NA,6,NA,5,NA,NA,NA,8,4,1
375,3,2,5,NA,7,NA,6,NA,NA,NA,8,4,1
376,2,3,5,NA,8,NA,6,NA,NA,NA,7,4,1
377,2,4,3,NA,7,NA,6,NA,NA,NA,8,5,1
378,2,4,3,NA,8,NA,7,NA,NA,NA,6,5,1
379,1,4,3,NA,8,NA,7,NA,NA,NA,6,5,2
380,1,6,3,NA,8,NA,4,NA,NA,NA,7,5,2
381,1,7,3,NA,8,NA,5,NA,NA,NA,4,6,2
382,1,3,4,NA,8,NA,6,NA,NA,NA,5,7,2
383,1,5,2,NA,8,NA,6,NA,NA,NA,3,7,4
384,1,5,3,NA,8,NA,6,NA,NA,NA,4,7,2
385,1,6,3,NA,8,NA,5,NA,NA,NA,4,7,2
386,1,7,3,NA,8,NA,5,NA,NA,NA,4,6,2
387,2,7,3,NA,8,NA,5,NA,NA,NA,4,6,1
388,2,7,4,NA,8,NA,3,NA,NA,NA,5,6,1
389,2,7,4,NA,8,NA,3,NA,NA,NA,5,6,1
390,3,7,2,NA,8,NA,5,NA,NA,NA,4,6,1
391,4,7,3,NA,8,NA,2,NA,NA,NA,5,6,1
392,2,7,4,NA,8,NA,3,NA,NA,NA,5,6,1
393,3,7,2,NA,8,NA,4,NA,NA,NA,5,6,1
394,1,7,3,NA,8,NA,4,NA,NA,NA,5,6,2
395,1,7,3,NA,8,NA,4,NA,NA,NA,5,6,2
396,1,7,3,NA,8,NA,5,NA,NA,NA,4,6,2
397,1,7,3,NA,8,NA,5,NA,NA,NA,4,6,2
398,3,7,4,NA,8,NA,5,NA,NA,NA,2,6,1
399,3,6,4,NA,8,NA,5,NA,NA,NA,2,7,1
400,3,6,4,NA,8,NA,5,NA,NA,NA,1,7,2
401,3,6,5,NA,8,NA,4,NA,NA,NA,1,7,2
402,4,6,3,NA,8,NA,5,NA,NA,NA,1,7,2
403,4,6,3,NA,7,NA,5,NA,NA,NA,1,8,2
404,2,6,4,NA,7,NA,5,NA,NA,NA,1,8,3
405,2,6,5,NA,7,NA,3,NA,NA,NA,1,8,4
406,2,5,6,NA,7,NA,3,NA,NA,NA,1,8,4
407,2,5,6,NA,8,NA,3,NA,NA,NA,1,7,4
408,3,2,6,NA,8,NA,4,NA,NA,NA,1,7,5
409,4,3,6,NA,8,NA,5,NA,NA,NA,1,7,2
410,4,3,6,NA,8,NA,5,NA,NA,NA,1,7,2
411,4,3,5,NA,8,NA,6,NA,NA,NA,2,7,1
412,4,2,6,NA,8,NA,5,NA,NA,NA,3,7,1
